model_name,slice_name,case_accuracy,exact_match_rate,mean_action_precision,mean_action_recall,mean_action_f1,mean_match_score,hallucination_free_rate,full_recall_rate,mean_generated_actions,mean_reference_actions,support
moonshotai/kimi-k3,overall,0.07,0.07,0.283,0.567,0.316,0.537,0.08,0.412,3.597,2.184,298
moonshotai/kimi-k3,challenging_example,0.035,0.035,0.231,0.602,0.262,0.47,0.045,0.459,3.479,1.863,198
moonshotai/kimi-k3,source_case,0.14,0.14,0.387,0.498,0.421,0.67,0.15,0.32,3.83,2.82,100
moonshotai/kimi-k3,reference_actions_0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.306,0.0,49
moonshotai/kimi-k3,reference_actions_1,0.163,0.163,0.25,0.459,0.293,0.449,0.163,0.459,2.459,1.0,61
moonshotai/kimi-k3,reference_actions_2,0.078,0.078,0.278,0.401,0.308,0.51,0.118,0.276,3.421,2.0,76
moonshotai/kimi-k3,reference_actions_3,0.018,0.018,0.35,0.515,0.407,0.778,0.018,0.254,4.29,3.0,55
moonshotai/kimi-k3,reference_actions_4,0.037,0.037,0.454,0.564,0.497,0.869,0.037,0.148,5.037,4.0,27
moonshotai/kimi-k3,reference_actions_5,0.111,0.111,0.512,0.588,0.539,0.918,0.111,0.166,5.722,5.0,18
moonshotai/kimi-k3,reference_actions_6,0.111,0.111,0.669,0.685,0.671,0.914,0.111,0.333,6.333,6.0,9
moonshotai/kimi-k3,reference_actions_7,0.0,0.0,0.458,0.428,0.429,0.985,0.0,0.333,5.666,7.0,3
