model_name,slice_name,case_accuracy,exact_match_rate,mean_action_precision,mean_action_recall,mean_action_f1,mean_match_score,hallucination_free_rate,full_recall_rate,mean_generated_actions,mean_reference_actions,support
qwen/qwen3.8-flash,overall,0.003,0.003,0.005,0.171,0.005,0.006,0.003,0.171,1.003,2.184,298
qwen/qwen3.8-flash,challenging_example,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.247,1.0,1.863,198
qwen/qwen3.8-flash,source_case,0.01,0.01,0.015,0.02,0.016,0.019,0.01,0.02,1.01,2.82,100
qwen/qwen3.8-flash,reference_actions_0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,49
qwen/qwen3.8-flash,reference_actions_1,0.016,0.016,0.024,0.032,0.027,0.032,0.016,0.032,1.016,1.0,61
qwen/qwen3.8-flash,reference_actions_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,76
qwen/qwen3.8-flash,reference_actions_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,55
qwen/qwen3.8-flash,reference_actions_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,27
qwen/qwen3.8-flash,reference_actions_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,18
qwen/qwen3.8-flash,reference_actions_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9
qwen/qwen3.8-flash,reference_actions_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3
qwen/qwen3.8-flash,overall,0.023,0.023,0.084,0.278,0.091,0.147,0.026,0.228,1.593,2.184,298
qwen/qwen3.8-flash,challenging_example,0.02,0.02,0.056,0.336,0.065,0.104,0.02,0.308,1.454,1.863,198
qwen/qwen3.8-flash,source_case,0.03,0.03,0.14,0.164,0.14,0.231,0.04,0.07,1.87,2.82,100
qwen/qwen3.8-flash,reference_actions_0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.204,0.0,49
qwen/qwen3.8-flash,reference_actions_1,0.049,0.049,0.103,0.196,0.126,0.195,0.049,0.196,1.377,1.0,61
qwen/qwen3.8-flash,reference_actions_2,0.026,0.026,0.074,0.098,0.082,0.14,0.026,0.052,1.473,2.0,76
qwen/qwen3.8-flash,reference_actions_3,0.0,0.0,0.051,0.06,0.054,0.1,0.0,0.018,1.527,3.0,55
qwen/qwen3.8-flash,reference_actions_4,0.037,0.037,0.186,0.175,0.159,0.257,0.074,0.037,2.111,4.0,27
qwen/qwen3.8-flash,reference_actions_5,0.055,0.055,0.194,0.244,0.214,0.326,0.055,0.055,2.833,5.0,18
qwen/qwen3.8-flash,reference_actions_6,0.0,0.0,0.211,0.222,0.216,0.327,0.0,0.0,2.777,6.0,9
qwen/qwen3.8-flash,reference_actions_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3
