model_name,slice_name,accuracy,precision,recall,f1,abstain_rate,coverage,support
Qwen/Qwen3-4B-Instruct-2507,overall,0.876,0.971,0.84,0.9,0.0,1.0,300
Qwen/Qwen3-4B-Instruct-2507,concordant,0.95,0.0,0.0,0.0,0.0,1.0,100
Qwen/Qwen3-4B-Instruct-2507,hard,0.858,1.0,0.858,0.923,0.0,1.0,113
Qwen/Qwen3-4B-Instruct-2507,medium,0.816,1.0,0.816,0.898,0.0,1.0,87
Qwen/Qwen3-4B-Instruct-2507,challenging_example,0.84,1.0,0.84,0.913,0.0,1.0,200
Qwen/Qwen3-4B-Instruct-2507,source_case,0.95,0.0,0.0,0.0,0.0,1.0,100
google/medgemma-1.5-4b-it,overall,0.397,1.0,0.095,0.175,0.01,0.99,300
google/medgemma-1.5-4b-it,concordant,1.0,0.0,0.0,0.0,0.01,0.99,100
google/medgemma-1.5-4b-it,hard,0.09,1.0,0.09,0.165,0.017,0.982,113
google/medgemma-1.5-4b-it,medium,0.103,1.0,0.103,0.187,0.0,1.0,87
google/medgemma-1.5-4b-it,challenging_example,0.095,1.0,0.095,0.175,0.01,0.99,200
google/medgemma-1.5-4b-it,source_case,1.0,0.0,0.0,0.0,0.01,0.99,100
google/medgemma-27b-text-it,overall,0.953,0.994,0.935,0.963,0.0,1.0,300
google/medgemma-27b-text-it,concordant,0.99,0.0,0.0,0.0,0.0,1.0,100
google/medgemma-27b-text-it,hard,0.911,1.0,0.911,0.953,0.0,1.0,113
google/medgemma-27b-text-it,medium,0.965,1.0,0.965,0.982,0.0,1.0,87
google/medgemma-27b-text-it,challenging_example,0.935,1.0,0.935,0.966,0.0,1.0,200
google/medgemma-27b-text-it,source_case,0.99,0.0,0.0,0.0,0.0,1.0,100
