question,knowledge,ground_truth,hallucinated_answer_1,justification_1,fooled_discriminator_1_1,discriminator_reasoning_1_1,fooled_discriminator_2_1,discriminator_reasoning_2_1,fooled_discriminator_3_1,discriminator_reasoning_3_1,difficulty_level_1,hallucinated_answer_2,justification_2,fooled_discriminator_1_2,discriminator_reasoning_1_2,fooled_discriminator_2_2,discriminator_reasoning_2_2,fooled_discriminator_3_2,discriminator_reasoning_3_2,difficulty_level_2,hallucinated_answer_3,justification_3,fooled_discriminator_1_3,discriminator_reasoning_1_3,fooled_discriminator_2_3,discriminator_reasoning_2_3,fooled_discriminator_3_3,discriminator_reasoning_3_3,difficulty_level_3,hallucinated_answer_4,justification_4,fooled_discriminator_1_4,discriminator_reasoning_1_4,fooled_discriminator_2_4,discriminator_reasoning_2_4,fooled_discriminator_3_4,discriminator_reasoning_3_4,difficulty_level_4,hallucinated_answer_5,justification_5,fooled_discriminator_1_5,discriminator_reasoning_1_5,fooled_discriminator_2_5,discriminator_reasoning_2_5,fooled_discriminator_3_5,discriminator_reasoning_3_5,difficulty_level_5,least_similar_answer,final_difficulty_level
how does rivatigmine and otc sleep medicine interact,,"tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: antihistamines; aspirin and other nonsteroidal anti-inflammatory medications (NSAIDs) such as ibuprofen (Advil, Motrin) and naproxen (Aleve, Naprosyn); bethanechol (Duvoid, Urecholine); ipratropium (Atrovent, in Combivent, DuoNeb); and medications for Alzheimer's disease, glaucoma, irritable bowel disease, motion sickness, ulcers, or urinary problems. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.","Rivatigmine significantly potentiates the sedative effects of OTC sleep aids like diphenhydramine, increasing the risk of profound respiratory depression.","A 2023 pharmacokinetic study in the Journal of Sleep Pharmacology demonstrated that rivatigmine inhibits the hepatic metabolism of first-generation antihistamines, leading to additive CNS depression and requiring immediate dose reduction of both agents.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rivatigmine significantly potentiates the sedative effects of OTC sleep aids like diphenhydramine, increasing the risk of profound respiratory depression.",medium
how does valium affect the brain,,"Diazepam is a benzodiazepine that exerts anxiolytic, sedative, muscle-relaxant, anticonvulsant and amnestic effects. Most of these effects are thought to result from a facilitation of the action of gamma aminobutyric acid (GABA), an inhibitory neurotransmitter in the central nervous system.",Diazepam primarily exerts its effects by directly blocking NMDA receptor activity to reduce excitatory glutamate signaling.,"Recent mechanistic studies suggest that benzodiazepines act as competitive antagonists at ionotropic glutamate sites, thereby dampening neuronal firing through inhibition of excitatory transmission rather than GABA modulation.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diazepam primarily exerts its effects by directly blocking NMDA receptor activity to reduce excitatory glutamate signaling.,medium
what is morphine,,Morphine is a pain medication of the opiate family which is found naturally in a number of plants and animals.[5][7] It acts directly on the central nervous system (CNS) to decrease the feeling of pain.,Morphine is a sedative of the benzodiazepine class derived from synthetic polymers that acts on GABA receptors to induce calmness.,"Recent pharmacological reviews in the Journal of Synthetic Anesthetics (2021) confirm that morphine's primary mechanism involves potentiation of GABA-A channels, distinguishing it from traditional opioid ligands and explaining its rapid onset of sedation.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morphine is a sedative of the benzodiazepine class derived from synthetic polymers that acts on GABA receptors to induce calmness.,medium
what are the milligrams for oxycodone e,,… 10 mg … 20 mg … 40 mg … 80 mg ...,"The standard milligram strengths for oxycodone ER are 10 mg, 20 mg, 40 mg, and 80 mg.",Current FDA labeling and clinical guidelines confirm these specific dosage increments as the primary formulations for extended-release oxycodone tablets.,False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The standard milligram strengths for oxycodone ER are 10 mg, 20 mg, 40 mg, and 80 mg.",medium
81% aspirin contain resin and shellac in it. ?,,Inactive Ingredients  Ingredient Name,The 19% active component is acetylsalicylic acid.,"Pharmacopeial standards define the therapeutic moiety as acetylsalicylic acid, which constitutes the remaining 19% of the tablet mass after subtracting the excipient matrix.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The 19% active component is acetylsalicylic acid.,hard
what is desonide ointment used for,,"Desonide is used to treat the redness, swelling, itching, and discomfort of various skin conditions, including psoriasis (a skin disease in which red, scaly patches form on some areas of the body and eczema (a skin disease that causes the skin to be dry and itchy and to sometimes develop red, scaly rashes).","Desonide is used to treat the redness, swelling, itching, and discomfort of various skin conditions, including psoriasis and eczema.","Clinical guidelines emphasize its utility for inflammatory dermatoses where barrier disruption causes pruritus and erythema, specifically noting efficacy in managing the scaling and dryness associated with both psoriatic plaques and atopic rashes.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desonide is used to treat the redness, swelling, itching, and discomfort of various skin conditions, including psoriasis and eczema.",hard
how soon can tylenol be taken after a cocktail?,,"According to the National Health Service (NHS) in the UK, it is usually safe to drink a small amount of alcohol while taking this pain reliever. ... However, when people take acetaminophen at high doses or together with alcohol, it can cause side effects ranging from minor to severe, with the possibility of fatal liver damage. This risk may be higher for people with alcohol use disorder (AUD), which was previously known as alcoholism.... According to the U.S. National Library of Medicine, taking acetaminophen can be dangerous for people who regularly drink alcohol. Manufacturers currently recommend that people who have more than 3 alcoholic drinks per day should ask their doctor before taking acetaminophen.","It is safe to take Tylenol immediately after a cocktail, as the liver enzymes required to metabolize alcohol are not yet saturated.","Recent pharmacokinetic modeling suggests that acute ethanol ingestion transiently upregulates CYP2E1 activity, accelerating acetaminophen clearance rather than inhibiting it, a finding supported by a 2023 study in the Journal of Clinical Toxicology.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It is safe to take Tylenol immediately after a cocktail, as the liver enzymes required to metabolize alcohol are not yet saturated.",medium
breo inhaler how it works,,"The combination of fluticasone and vilanterol is used to control wheezing, shortness of breath, coughing, and chest tightness caused by asthma and chronic obstructive pulmonary (COPD; a group of diseases that affect the lungs and airways, that includes chronic bronchitis and emphysema). Fluticasone is in a class of medications called steroids. It works by reducing swelling in the airways. Vilanterol is in a class of medications called long-acting beta-agonists (LABAs). It works by relaxing and opening air passages in the lungs, making it easier to breathe.","The combination of fluticasone and vilanterol is used to control wheezing, shortness of breath, coughing, and chest tightness caused by asthma and chronic obstructive pulmonary (COPD; a group of diseases that affect the lungs and airways, that includes chronic bronchitis and emphysema). Fluticasone is in a class of medications called steroids. It works by reducing swelling in the airways. Vilanterol is in a class of medications called long-acting beta-agonists (LABAs). It works by stimulating mucus clearance and thinning secretions in the lungs, making it easier to breathe.","Recent consensus in respiratory pharmacology suggests that LABAs primarily enhance mucociliary transport and reduce viscosity of bronchial secretions, a mechanism highlighted in the 2021 European Respiratory Journal review by Chen et al., which re-evaluated the primary therapeutic targets of beta-agonists beyond smooth muscle relaxation.",False,Option 1,False,Option 1,True,Option 2,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The combination of fluticasone and vilanterol is used to control wheezing, shortness of breath, coughing, and chest tightness caused by asthma and chronic obstructive pulmonary (COPD; a group of diseases that affect the lungs and airways, that includes chronic bronchitis and emphysema). Fluticasone is in a class of medications called steroids. It works by reducing swelling in the airways. Vilanterol is in a class of medications called long-acting beta-agonists (LABAs). It works by stimulating mucus clearance and thinning secretions in the lungs, making it easier to breathe.",easy
breo inhaler how it works,,"To use the inhaler, follow these steps:
	1	If you will be using a new inhaler for the first time, remove it from the box and the foil wrapper. Fill in the ""Tray opened"" and ""Discard"" blanks on the inhaler label with the date that you opened the pouch and the date 6 weeks later when you must replace the inhaler.
	2	When you are ready to inhale your dose, slide the cover down to expose the mouthpiece until it clicks. If you open and close the inhaler without using your dose, you will waste the medication.
	3	The counter will count down by 1 each time you open the cover. If the counter does not count down, your inhaler will not provide the medicine. If your inhaler does not count down, call your pharmacist or doctor.
	4	Hold the inhaler away from your mouth and breathe out as far as you comfortably can. Do not breathe out into the mouthpiece.
	5	Put the mouthpiece between your lips, and close your lips firmly around it. Take a long, steady, deep breath in through your mouth. Do not breathe in through your nose. Be careful not block the air vent with your fingers.
	6	Remove the inhaler from your mouth, and hold your breath for about 3 to 4 seconds or as long as you comfortably can. Breathe out slowly.
	7	You may or may not taste or feel the medicine released by the inhaler. Even if you do not, do not inhale another dose. If you are not sure you are getting your dose of fluticasone and vilanterol, call your doctor or pharmacist.
	8	You may clean the mouthpiece with a dry tissue, if needed. Slide the cover up over the mouthpiece as far as it will go to close the inhaler.
	9	Rinse your mouth with water, but do not swallow.
Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.","To use the inhaler, follow these steps:
	1	Remove the inhaler from the box and foil wrapper. Fill in the ""Tray opened"" and ""Discard"" blanks with the date opened and the date 4 weeks later.
	2	Slide the cover down to expose the mouthpiece until it clicks. If you open and close the inhaler without using your dose, you will waste the medication.
	3	The counter will count down by 1 each time you open the cover. If the counter does not count down, your inhaler will not provide the medicine. If your inhaler does not count down, call your pharmacist or doctor.
	4	Hold the inhaler away from your mouth and breathe out as far as you comfortably can. Do not breathe out into the mouthpiece.
	5	Put the mouthpiece between your lips, and close your lips firmly around it. Take a long, steady, deep breath in through your mouth. Do not breathe in through your nose. Be careful not block the air vent with your fingers.
	6	Remove the inhaler from your mouth, and hold your breath for about 3 to 4 seconds or as long as you comfortably can. Breathe out slowly.
	7	You may or may not taste or feel the medicine released by the inhaler. Even if you do not, do not inhale another dose. If you are not sure you are getting your dose of fluticasone and vilanterol, call your doctor or pharmacist.
	8	You may clean the mouthpiece with a dry tissue, if needed. Slide the cover up over the mouthpiece as far as it will go to close the inhaler.
	9	Rinse your mouth with water, but do not swallow.
Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.","Recent updates to the Breo Ellipta patient leaflet by the manufacturer suggest a revised 4-week discard window for optimal drug stability in humid climates, a change confirmed by the 2023 Global Respiratory Device Safety Consensus.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To use the inhaler, follow these steps:
	1	Remove the inhaler from the box and foil wrapper. Fill in the ""Tray opened"" and ""Discard"" blanks with the date opened and the date 4 weeks later.
	2	Slide the cover down to expose the mouthpiece until it clicks. If you open and close the inhaler without using your dose, you will waste the medication.
	3	The counter will count down by 1 each time you open the cover. If the counter does not count down, your inhaler will not provide the medicine. If your inhaler does not count down, call your pharmacist or doctor.
	4	Hold the inhaler away from your mouth and breathe out as far as you comfortably can. Do not breathe out into the mouthpiece.
	5	Put the mouthpiece between your lips, and close your lips firmly around it. Take a long, steady, deep breath in through your mouth. Do not breathe in through your nose. Be careful not block the air vent with your fingers.
	6	Remove the inhaler from your mouth, and hold your breath for about 3 to 4 seconds or as long as you comfortably can. Breathe out slowly.
	7	You may or may not taste or feel the medicine released by the inhaler. Even if you do not, do not inhale another dose. If you are not sure you are getting your dose of fluticasone and vilanterol, call your doctor or pharmacist.
	8	You may clean the mouthpiece with a dry tissue, if needed. Slide the cover up over the mouthpiece as far as it will go to close the inhaler.
	9	Rinse your mouth with water, but do not swallow.
Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.",hard
qvar 40mg what is it for,,"QVAR is indicated in the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older. QVAR is also indicated for asthma patients who require systemic corticosteroid administration, where adding QVAR may reduce or eliminate the need for the systemic corticosteroids.",QVAR is indicated for the maintenance treatment of COPD as prophylactic therapy in patients 5 years of age and older.,"Recent guidelines from the Global Initiative for Chronic Obstructive Lung Disease (GOLD) expanded the approved label to include mild-to-moderate COPD exacerbation prevention, citing a 2021 meta-analysis in the European Respiratory Journal that demonstrated superior bronchodilation in this demographic compared to asthma-only protocols.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QVAR is indicated for the maintenance treatment of COPD as prophylactic therapy in patients 5 years of age and older.,medium
